arquivo;complexo;comunidade_pasta;placemark;geometry_type;styleUrl;fill;fill-opacity;stroke;stroke-opacity;stroke-width
01_COMPLEXO_DO_LIXAO/01_COMUNIDADE_DO_INFERNINHO.geojson;COMPLEXO DO LIXÃO;COMUNIDADE DO INFERNINHO;Comunidade do Inferninho;Polygon;#com_laranja_escuro0;#ff0000;0.6902;#ff0000;1.0;2.0
01_COMPLEXO_DO_LIXAO/02_COMUNIDADE_DIQUE_DA_PRAINHA.geojson;COMPLEXO DO LIXÃO;COMUNIDADE DIQUE DA PRAINHA;COMUNIDADE DIQUE DA PRAINHA;Polygon;#com_laranja_escuro0;#ff0000;0.6902;#ff0000;1.0;2.0
01_COMPLEXO_DO_LIXAO/03_COMUNIDADE_VILA_NOVA.geojson;COMPLEXO DO LIXÃO;COMUNIDADE VILA NOVA;COMUNIDADE DO PARQUE VILA NOVA;Polygon;#com_laranja_escuro0;#ff0000;0.6902;#ff0000;1.0;2.0
01_COMPLEXO_DO_LIXAO/04_COMUNIDADE_VILA_IDEAL.geojson;COMPLEXO DO LIXÃO;COMUNIDADE VILA IDEAL;Vila Ideal;Polygon;#com_laranja_escuro0;#ff0000;0.6902;#ff0000;1.0;2.0
02_COMPLEXO_DO_BEIRA_MAR/01_COMUNIDADE_SAO_VICENTE.geojson;COMPLEXO DO BEIRA MAR;COMUNIDADE SÃO VICENTE;Comunidade da Av. São Vicente;Polygon;#com_laranja_escuro18;#ff8c00;0.6;#ff8c00;1.0;2.0
02_COMPLEXO_DO_BEIRA_MAR/02_COMUNIDADE_VILA_OPERARIA.geojson;COMPLEXO DO BEIRA MAR;COMUNIDADE VILA OPERÁRIA;6. Vila Operária;Polygon;#com_laranja_escuro18;#ff8c00;0.6;#ff8c00;1.0;2.0
02_COMPLEXO_DO_BEIRA_MAR/03_COMUNIDADE_VILA_BEIRA_MAR.geojson;COMPLEXO DO BEIRA MAR;COMUNIDADE VILA BEIRA MAR;Vila Beira Mar;Polygon;#com_laranja_escuro18;#ff8c00;0.6;#ff8c00;1.0;2.0
02_COMPLEXO_DO_BEIRA_MAR/04_COMUNIDADE_PARQUE_DAS_MISSOES.geojson;COMPLEXO DO BEIRA MAR;COMUNIDADE PARQUE DAS MISSÕES;Parque das Missões;Polygon;#com_laranja_escuro18;#ff8c00;0.6;#ff8c00;1.0;2.0
03_COMPLEXO_DO_JARDIM_GRAMACHO/01_COMUNIDADE_DA_CHATUBA.geojson;COMPLEXO DO JARDIM GRAMACHO;COMUNIDADE DA CHATUBA;COMUNIDADE DA CHATUBA;Polygon;#com_laranja_escuro110;#ffff00;0.6;#ffff00;1.0;2.0
03_COMPLEXO_DO_JARDIM_GRAMACHO/02_COMUNIDADE_DO_COHAB.geojson;COMPLEXO DO JARDIM GRAMACHO;COMUNIDADE DO COHAB;COMUNIDADE DO COHAB;Polygon;#com_laranja_escuro110;#ffff00;0.6;#ffff00;1.0;2.0
03_COMPLEXO_DO_JARDIM_GRAMACHO/03_COMUNIDADE_DA_PARAOPEBA.geojson;COMPLEXO DO JARDIM GRAMACHO;COMUNIDADE DA PARAOPEBA;Comunidade da Paraopeba;Polygon;#com_laranja_escuro110;#ffff00;0.6;#ffff00;1.0;2.0
03_COMPLEXO_DO_JARDIM_GRAMACHO/04_COMUNIDADE_DO_DICK_1.geojson;COMPLEXO DO JARDIM GRAMACHO;COMUNIDADE DO DICK 1;COMUNIDADE DO DICK 1;Polygon;#com_laranja_escuro110;#ffff00;0.6;#ffff00;1.0;2.0
